10	0.000279	7.163628E+08
20	0.000797	2.007444E+09
30	0.000431	1.252724E+10
40	0.000851	1.503840E+10
50	0.001578	1.584191E+10
60	0.002515	1.717641E+10
70	0.003652	1.878374E+10
80	0.006038	1.695940E+10
90	0.009593	1.519894E+10
100	0.011430	1.749777E+10
110	0.012378	2.150594E+10
120	0.017507	1.974086E+10
130	0.018448	2.381846E+10
140	0.023736	2.312100E+10
150	0.024385	2.768071E+10
160	0.033866	2.418933E+10
170	0.034209	2.872342E+10
180	0.044157	2.641482E+10
190	0.043438	3.158067E+10
200	0.064582	2.477466E+10
210	0.052239	3.545615E+10
220	0.073794	2.885867E+10
230	0.065919	3.691491E+10
240	0.088522	3.123293E+10
250	0.079396	3.935966E+10
260	0.113349	3.101219E+10
270	0.103729	3.795081E+10
280	0.133051	3.299789E+10
290	0.124039	3.932467E+10
300	0.166853	3.236383E+10
310	0.146350	4.071195E+10
320	0.200582	3.267292E+10
330	0.182054	3.947954E+10
340	0.231863	3.390281E+10
350	0.200930	4.267658E+10
360	0.260340	3.584236E+10
370	0.235177	4.307648E+10
380	0.312641	3.510225E+10
390	0.272690	4.350657E+10
400	0.347154	3.687123E+10
410	0.326599	4.220529E+10
420	0.402100	3.685053E+10
430	0.375834	4.230964E+10
440	0.455554	3.739798E+10
450	0.401831	4.535490E+10
460	0.534124	3.644697E+10
470	0.489968	4.237950E+10
480	0.589180	3.754099E+10
490	0.527040	4.464519E+10
500	0.666072	3.753349E+10
510	0.656066	4.043831E+10
520	0.740565	3.797318E+10
530	0.704340	4.227419E+10
540	0.804587	3.914157E+10
550	0.795061	4.185213E+10
560	0.941560	3.730320E+10
570	0.820940	4.511730E+10
580	1.024971	3.807171E+10
590	0.972632	4.223160E+10
600	1.096294	3.940549E+10
610	1.060759	4.279597E+10
620	1.218326	3.912385E+10
630	1.119544	4.466944E+10
640	1.441943	3.635983E+10
650	1.262711	4.349769E+10
660	1.468260	3.916146E+10
670	1.392527	4.319672E+10
680	1.632023	3.853279E+10
690	1.461890	4.494305E+10
700	1.702528	4.029302E+10
710	1.639929	4.364957E+10
720	1.826144	4.087827E+10
730	1.771569	4.391779E+10
740	2.117749	3.826931E+10
750	1.925109	4.382869E+10
760	2.211277	3.970339E+10
770	2.148996	4.248802E+10
780	2.551547	3.719720E+10
790	2.368257	4.163729E+10
800	2.927181	3.498246E+10
810	2.628185	4.044167E+10
820	3.027253	3.642695E+10
830	2.946422	3.881230E+10
840	3.361927	3.525978E+10
850	3.097702	3.965036E+10
860	3.685612	3.451562E+10
870	3.570288	3.688795E+10
880	3.830077	3.558529E+10
890	4.103895	3.435609E+10
900	4.307489	3.384803E+10
910	4.199475	3.588882E+10
920	4.413306	3.528819E+10
930	4.451329	3.614008E+10
940	4.629635	3.588119E+10
950	4.755778	3.605614E+10
960	4.928981	3.589935E+10
970	4.983389	3.662861E+10
980	5.254595	3.582358E+10
990	5.275463	3.678536E+10
1000	5.298070	3.774960E+10
